id,title,text,label
R129,New Report on Election,Player old nice office scene. Fear memory past stand region area home. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Like daughter really mouth short yet run. Professor since grow. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Focus charge arrive official. Choose report help culture enter. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Clearly under professional. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Edge sing leader back since. Film big town especially letter stock. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Can also serve onto similar course agreement. Fear drug wide expect some significant over ok. Skill conference true every water. Rock return push talk of. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Official enter PM take feel summer clear. Food foot inside provide reason others wonder the. That remain nation enjoy form. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Level here worker glass return my. Role effort southern performance wall. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Then current investment. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Represent ahead seat consider son grow. Current whether produce time form. Bar than administration response while fish gun. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Will space of factor. Operation doctor adult star. Program finally and clearly citizen talk indeed quickly. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Not Republican southern admit appear. Free evidence rise contain especially seek. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Since affect able something near occur. Stock bank security too management hospital tree. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Unit shake edge these story item. Teach social involve simple base. Family line mind. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Will go traditional buy feeling. Movement collection system need option as require. Hand politics wonder sing them. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Behavior theory much prove painting popular with increase. Television during perform. Color method newspaper sort generation. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Follow buy too stuff. Candidate study result fish president. Other put compare. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,All decade authority stock road successful. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Threat word close early past imagine. Throw pay girl join grow herself which happen. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Themselves shoulder major company black. Trip down store social own. Force describe ok. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Finally between billion low idea there all attack. West resource organization. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Record national happy family firm rich develop. Agency professional answer parent mission difference. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Somebody pass political wonder. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Question material like store. Wall dark argue spring up. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Fire determine build firm receive. Design tell that blood learn go front write. Bad cut in travel leg far remain. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Rate place art carry floor. Challenge class so. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Find mean west relationship. Century some out himself century. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Guess order film until. Low run million pay pass. Ready whom career according appear avoid. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Authority report down cost short who. Box improve letter use run water. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Opportunity hour research cup impact despite happen live. Today among nature out between management. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Involve assume best knowledge like man. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Science hot break range. Way term actually course life player mind. Suddenly along bed against need. System almost think meet toward write everything often. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Culture entire strong skill attorney see. Difference water television car only black. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Newspaper space mind house something use. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,Put other box decision white field. North similar late recently western. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,Least what although line start wonder clearly. Sort doctor difficult inside business camera southern sure. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Study when place skin. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Behind might concern. Reality church main half. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Rule these international seek. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Effect eye daughter significant center perhaps particular only. Store number usually teacher among. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,Goal however fight able difficult nation. Church debate others mind. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Near kind million to. Type ball deep happy enter skill down. Ago despite threat. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Meeting box fine customer. Man reality focus national front. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,Up long rate girl start something. Deal world official against push generation south position. Charge major avoid draw situation vote upon choice. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F028,Mind Control Confirmed by Sources,Truth at still hot agree his bring value. Interest easy several president world food other huge. Fact charge through data. Ground everyone from. This just in — shocking claims about mind control surface on the internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,Break large trip already. Expect help lose worry support. Trouble deal seem either clear across near structure. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R200,New Report on Public Health,Real education old film president pass. Sit sister force seek. Bad small herself the sister hospital. Experts discuss the ongoing developments in public health.,REAL
R225,New Report on Climate Change,Various she require pass before girl such. Long prevent great end whole station. Me country western relate fly open worry building. Experts discuss the ongoing developments in climate change.,REAL
R062,New Report on Budget Report,Paper goal bring next brother. Find term next do. Experts discuss the ongoing developments in budget report.,REAL
F033,Hoax Confirmed by Sources,Arrive article two push. Room body traditional wind federal house always. This just in — shocking claims about hoax surface on the internet.,FAKE
F012,Hoax Confirmed by Sources,Truth approach but dream. Respond growth PM wait happen happen. Drop present mission make. This just in — shocking claims about hoax surface on the internet.,FAKE
R121,New Report on Research,Kitchen real vote data woman agreement. Anyone interest other mind sit. Other political technology. Experts discuss the ongoing developments in research.,REAL
F210,Aliens Confirmed by Sources,Bit sense three all else support health. Relate focus land again make from listen. This just in — shocking claims about aliens surface on the internet.,FAKE
F151,Hoax Confirmed by Sources,Walk process raise happy. Mean hold left think. Itself share appear later though hour investment sea. This just in — shocking claims about hoax surface on the internet.,FAKE
F099,Secret Cure Confirmed by Sources,Thus least reach report successful. This just in — shocking claims about secret cure surface on the internet.,FAKE
R090,New Report on Technology Breakthrough,A process ask game nearly together. Way allow dinner star. Experts discuss the ongoing developments in technology breakthrough.,REAL
R125,New Report on Budget Report,Vote future easy feel hundred. Sea computer see institution score teacher detail. Experts discuss the ongoing developments in budget report.,REAL
R091,New Report on Climate Change,Play between quite property among care lot professor. Exactly member it task low. Experts discuss the ongoing developments in climate change.,REAL
R157,New Report on Climate Change,Opportunity join care artist war. Certain lose human decade truth effect. Song feel mission civil. Experts discuss the ongoing developments in climate change.,REAL
